;department;year;yield;area;production
82;Ain;1982;3.95008;16065.0;63458.0
83;Ain;1983;;14500.0;38400.0
84;Ain;1984;4.82258;15500.0;74750.0
85;Ain;1985;4.19677;15500.0;65050.0
86;Ain;1986;3.59845;12900.0;46420.0
87;Ain;1987;4.92;15000.0;73800.0
88;Ain;1988;3.98092;13100.0;52150.0
89;Ain;1989;5.03846;13000.0;65500.0
90;Ain;1990;4.644;12500.0;58050.0
91;Ain;1991;5.06772;12700.0;64360.0
92;Ain;1992;5.08785;10700.0;54440.0
93;Ain;1993;4.85714;10500.0;51000.0
94;Ain;1994;4.61262;10300.0;47510.0
95;Ain;1995;5.25758;9900.0;52050.0
96;Ain;1996;5.60408;9800.0;54920.0
97;Ain;1997;5.61443;9700.0;54460.0
98;Ain;1998;;9500.0;60050.0
99;Ain;1999;4.96071;8400.0;41670.0
100;Ain;2000;6.12105;7600.0;46520.0
101;Ain;2001;4.95608;7012.0;34752.0
102;Ain;2002;6.85963;7537.0;51701.0
103;Ain;2003;4.88211;7380.0;36030.0
104;Ain;2004;6.79232;8075.0;54848.0
105;Ain;2005;5.71866;8168.0;46710.0
106;Ain;2006;6.32477;8098.0;51218.0
107;Ain;2007;6.02544;8474.0;51059.6
108;Ain;2008;5.84248;8345.0;48755.5
109;Ain;2009;6.42017;9658.0;62006.0
110;Ain;2010;6.37504;8133.0;51848.2
111;Ain;2011;5.89286;7000.0;41250.0
112;Ain;2012;6.08128;7050.0;42873.0
113;Ain;2013;5.0;7095.0;35475.0
114;Ain;2014;6.8;7350.0;49652.0
115;Ain;2015;6.9;8165.0;56717.5
116;Ain;2016;5.47;9530.0;52129.1
117;Ain;2017;6.57;9300.0;61101.0
118;Ain;2018;6.19;8870.0;54905.3
201;Aisne;1982;6.14227;53700.0;329840.0
202;Aisne;1983;5.82069;58000.0;337600.0
203;Aisne;1984;;53500.0;382450.0
204;Aisne;1985;6.91261;55500.0;383650.0
205;Aisne;1986;7.0;55000.0;385000.0
206;Aisne;1987;6.48696;46000.0;298400.0
207;Aisne;1988;6.61429;42000.0;277800.0
208;Aisne;1989;7.0;40000.0;280000.0
209;Aisne;1990;7.26667;36000.0;261600.0
210;Aisne;1991;7.35556;36000.0;264800.0
211;Aisne;1992;6.61081;37000.0;244600.0
212;Aisne;1993;6.64074;27000.0;179300.0
213;Aisne;1994;6.458;25000.0;161450.0
214;Aisne;1995;6.4;25000.0;160000.0
215;Aisne;1996;7.45938;32000.0;238700.0
216;Aisne;1997;7.11125;40000.0;284450.0
217;Aisne;1998;7.36316;38000.0;279800.0
218;Aisne;1999;7.4027;37000.0;273900.0
219;Aisne;2000;6.90804;39530.0;273075.0
220;Aisne;2001;6.75994;49702.0;335982.6
221;Aisne;2002;7.28118;45809.0;333543.6
222;Aisne;2003;6.32898;50994.0;322740.0
223;Aisne;2004;7.51585;41489.0;311825.0
224;Aisne;2005;7.15708;36691.0;262600.4
225;Aisne;2006;7.04039;42019.0;295830.3
226;Aisne;2007;6.27559;45516.0;285639.9
227;Aisne;2008;7.59571;51571.0;391718.5
228;Aisne;2009;8.12748;52755.0;428765.0
229;Aisne;2010;7.10311;40002.0;284138.8
230;Aisne;2011;6.27274;41163.0;258205.0
231;Aisne;2012;7.19698;41564.0;299135.3
232;Aisne;2013;7.43127;38262.0;284335.3
233;Aisne;2014;7.7;41595.0;320179.0
234;Aisne;2015;8.4;46850.0;391473.0
235;Aisne;2016;5.6;49600.0;277760.0
236;Aisne;2017;7.54;47100.0;355134.0
237;Aisne;2018;7.35;47790.0;351256.5
320;Allier;1982;3.63842;32211.0;117197.0
321;Allier;1983;2.70789;26974.0;73042.5
322;Allier;1984;4.04541;25896.0;104760.0
323;Allier;1985;3.78095;30538.0;115462.6
324;Allier;1986;2.97732;24202.0;72057.0
325;Allier;1987;4.42513;20943.0;92675.5
326;Allier;1988;3.56418;17279.0;61585.5
327;Allier;1989;4.55585;19124.0;87126.1
328;Allier;1990;3.84158;18135.0;69667.0
329;Allier;1991;5.03312;17172.0;86428.8
330;Allier;1992;4.65113;18082.0;84101.8
331;Allier;1993;4.88711;15515.0;75823.5
332;Allier;1994;4.24138;14500.0;61500.0
333;Allier;1995;4.68519;13500.0;63250.0
334;Allier;1996;5.38533;14011.0;75453.9
335;Allier;1997;4.85666;16027.0;77837.7
336;Allier;1998;5.84865;15509.0;90706.7
337;Allier;1999;5.1;14000.0;71400.0
338;Allier;2000;5.72456;11400.0;65260.0
339;Allier;2001;4.58312;12120.0;55547.4
340;Allier;2002;5.66653;13017.0;73761.2
341;Allier;2003;4.31852;13092.0;56538.0
342;Allier;2004;5.95007;13050.0;77648.4
343;Allier;2005;5.09205;13679.0;69654.2
344;Allier;2006;5.43604;14095.0;76621.0
345;Allier;2007;4.6862;13571.0;63596.4
346;Allier;2008;5.29978;13953.0;73947.8
347;Allier;2009;5.86345;15480.0;90766.2
348;Allier;2010;5.70072;12147.0;69246.6
349;Allier;2011;4.74615;11700.0;55530.0
350;Allier;2012;5.692;12500.0;71150.0
351;Allier;2013;5.53145;12400.0;68590.0
352;Allier;2014;5.7;13280.0;76048.0
353;Allier;2015;5.6;15420.0;87044.0
354;Allier;2016;4.98;15600.0;77688.0
355;Allier;2017;5.36;14850.0;79596.0
356;Allier;2018;5.37;13780.0;73998.6
439;Alpes_de_Haute_Provence;1982;3.09511;12470.0;38596.0
440;Alpes_de_Haute_Provence;1983;3.68899;13558.0;50015.3
441;Alpes_de_Haute_Provence;1984;4.05113;13300.0;53880.0
442;Alpes_de_Haute_Provence;1985;3.61333;15000.0;54200.0
443;Alpes_de_Haute_Provence;1986;2.608;12500.0;32600.0
444;Alpes_de_Haute_Provence;1987;3.25714;10500.0;34200.0
445;Alpes_de_Haute_Provence;1988;3.86264;9100.0;35150.0
446;Alpes_de_Haute_Provence;1989;3.30345;8700.0;28740.0
447;Alpes_de_Haute_Provence;1990;3.60053;7560.0;27220.0
448;Alpes_de_Haute_Provence;1991;3.14778;6090.0;19170.0
449;Alpes_de_Haute_Provence;1992;4.02936;5790.0;23330.0
450;Alpes_de_Haute_Provence;1993;4.16075;4790.0;19930.0
451;Alpes_de_Haute_Provence;1994;4.04176;4310.0;17420.0
452;Alpes_de_Haute_Provence;1995;4.17967;4230.0;17680.0
453;Alpes_de_Haute_Provence;1996;3.32;4000.0;13280.0
454;Alpes_de_Haute_Provence;1997;2.59536;3880.0;10070.0
455;Alpes_de_Haute_Provence;1998;4.40055;3620.0;15930.0
456;Alpes_de_Haute_Provence;1999;4.46364;3300.0;14730.0
457;Alpes_de_Haute_Provence;2000;4.35;3200.0;13920.0
458;Alpes_de_Haute_Provence;2001;3.6605;3129.0;11453.7
459;Alpes_de_Haute_Provence;2002;4.16994;2645.0;11029.5
460;Alpes_de_Haute_Provence;2003;3.15526;2566.0;8096.4
461;Alpes_de_Haute_Provence;2004;3.7541;2954.0;11089.6
462;Alpes_de_Haute_Provence;2005;3.65468;3085.0;11274.7
463;Alpes_de_Haute_Provence;2006;2.91984;3598.0;10505.6
464;Alpes_de_Haute_Provence;2007;3.88762;3328.0;12938.0
465;Alpes_de_Haute_Provence;2008;3.82319;4044.0;15461.0
466;Alpes_de_Haute_Provence;2009;3.9;4066.0;15857.4
467;Alpes_de_Haute_Provence;2010;3.9;2911.0;11352.9
468;Alpes_de_Haute_Provence;2011;3.8;3265.0;12407.0
469;Alpes_de_Haute_Provence;2012;4.09851;3015.0;12357.0
470;Alpes_de_Haute_Provence;2013;3.95335;2958.0;11694.0
471;Alpes_de_Haute_Provence;2014;3.0;3801.0;11535.4
472;Alpes_de_Haute_Provence;2015;3.2;3483.0;11172.0
473;Alpes_de_Haute_Provence;2016;4.26;3442.0;14662.92
474;Alpes_de_Haute_Provence;2017;3.96;3324.0;13163.04
475;Alpes_de_Haute_Provence;2018;3.93;3453.0;13570.29
558;Alpes_Maritimes;1982;2.5;400.0;1000.0
559;Alpes_Maritimes;1983;2.5;350.0;875.0
560;Alpes_Maritimes;1984;0.81356;354.0;288.0
561;Alpes_Maritimes;1985;1.76;300.0;528.0
562;Alpes_Maritimes;1986;2.47959;245.0;607.5
563;Alpes_Maritimes;1987;2.99;250.0;747.5
564;Alpes_Maritimes;1988;3.0;157.0;471.0
565;Alpes_Maritimes;1989;1.04375;160.0;167.0
566;Alpes_Maritimes;1990;2.5625;160.0;410.0
567;Alpes_Maritimes;1991;1.74468;141.0;246.0
568;Alpes_Maritimes;1992;3.37721;136.0;459.3
569;Alpes_Maritimes;1993;2.25;132.0;297.0
570;Alpes_Maritimes;1994;3.0374;123.0;373.6
571;Alpes_Maritimes;1995;4.0;120.0;480.0
572;Alpes_Maritimes;1996;4.0;136.0;544.0
573;Alpes_Maritimes;1997;1.4;127.0;177.8
574;Alpes_Maritimes;1998;4.5;105.0;472.5
575;Alpes_Maritimes;1999;4.0;95.0;380.0
576;Alpes_Maritimes;2000;4.0;90.0;360.0
577;Alpes_Maritimes;2001;3.7;90.0;333.0
578;Alpes_Maritimes;2002;4.0;60.0;240.0
579;Alpes_Maritimes;2003;;55.0;137.5
580;Alpes_Maritimes;2004;4.0;55.0;220.0
581;Alpes_Maritimes;2005;4.0;55.0;220.0
582;Alpes_Maritimes;2006;4.0;45.0;180.0
583;Alpes_Maritimes;2007;3.5;40.0;140.0
584;Alpes_Maritimes;2008;3.8;22.0;83.6
585;Alpes_Maritimes;2009;3.8;82.0;311.6
586;Alpes_Maritimes;2010;4.53704;81.0;367.5
587;Alpes_Maritimes;2011;3.39857;70.0;237.9
588;Alpes_Maritimes;2012;3.8;50.0;190.0
589;Alpes_Maritimes;2013;3.9;50.0;195.0
590;Alpes_Maritimes;2014;3.8;51.0;193.8
591;Alpes_Maritimes;2015;3.8;27.0;102.6
592;Alpes_Maritimes;2016;4.5;49.0;220.5
593;Alpes_Maritimes;2017;3.66;70.0;256.2
594;Alpes_Maritimes;2018;3.0;10.0;30.0
677;Ardeche;1982;2.71178;3539.0;9597.0
678;Ardeche;1983;2.92849;3552.0;10402.0
679;Ardeche;1984;;4057.0;19658.0
680;Ardeche;1985;3.75;4000.0;15000.0
681;Ardeche;1986;2.53948;3774.0;9584.0
682;Ardeche;1987;3.94275;3595.0;14174.2
683;Ardeche;1988;3.32826;3390.0;11282.8
684;Ardeche;1989;3.41429;3500.0;11950.0
685;Ardeche;1990;3.0;2855.0;8565.0
686;Ardeche;1991;2.85461;3102.0;8855.0
687;Ardeche;1992;3.40695;3686.0;12558.0
688;Ardeche;1993;3.5;2007.0;7024.5
689;Ardeche;1994;3.5;2187.0;7654.5
690;Ardeche;1995;3.5;2168.0;7588.0
691;Ardeche;1996;3.75128;2149.0;8061.5
692;Ardeche;1997;;2332.0;3731.2
693;Ardeche;1998;4.8;2315.0;11112.0
694;Ardeche;1999;3.93478;2300.0;9050.0
695;Ardeche;2000;3.76087;2300.0;8650.0
696;Ardeche;2001;3.46041;2311.0;7997.0
697;Ardeche;2002;3.79027;2118.0;8027.8
698;Ardeche;2003;;2550.0;5754.0
699;Ardeche;2004;3.54787;2465.0;8745.5
700;Ardeche;2005;3.79835;2673.0;10153.0
701;Ardeche;2006;3.67242;2571.0;9441.8
702;Ardeche;2007;3.71379;2575.0;9563.0
703;Ardeche;2008;4.34595;2483.0;10791.0
704;Ardeche;2009;3.36719;2414.0;8128.4
705;Ardeche;2010;3.91541;2194.0;8590.4
706;Ardeche;2011;2.52344;2090.0;5274.0
707;Ardeche;2012;3.6607;2010.0;7358.0
708;Ardeche;2013;4.01075;1860.0;7460.0
709;Ardeche;2014;3.4;1950.0;6630.0
710;Ardeche;2015;2.8;2170.0;6070.0
711;Ardeche;2016;3.86;1980.0;7642.8
712;Ardeche;2017;4.04;1975.0;7979.0
713;Ardeche;2018;3.63;1930.0;7005.9
796;Ardennes;1982;5.67871;31000.0;176040.0
797;Ardennes;1983;5.32452;31000.0;165060.0
798;Ardennes;1984;6.31406;32000.0;202050.0
799;Ardennes;1985;5.69264;32900.0;187288.0
800;Ardennes;1986;6.59167;31200.0;205660.0
801;Ardennes;1987;5.17375;25900.0;134000.0
802;Ardennes;1988;5.7792;25000.0;144480.0
803;Ardennes;1989;5.96833;24000.0;143240.0
804;Ardennes;1990;6.61667;21600.0;142920.0
805;Ardennes;1991;6.95877;21100.0;146830.0
806;Ardennes;1992;6.36887;21200.0;135020.0
807;Ardennes;1993;6.03359;19350.0;116750.0
808;Ardennes;1994;6.08249;17700.0;107660.0
809;Ardennes;1995;6.18953;19100.0;118220.0
810;Ardennes;1996;6.81739;23000.0;156800.0
811;Ardennes;1997;6.79608;25500.0;173300.0
812;Ardennes;1998;6.88039;25500.0;175450.0
813;Ardennes;1999;6.76803;26900.0;182060.0
814;Ardennes;2000;6.4;24650.0;157760.0
815;Ardennes;2001;6.22599;26997.0;168083.1
816;Ardennes;2002;6.65863;27994.0;186401.8
817;Ardennes;2003;6.36608;30786.0;195986.0
818;Ardennes;2004;7.27992;29481.0;214619.2
819;Ardennes;2005;6.93565;28030.0;194406.3
820;Ardennes;2006;6.77413;29877.0;202390.7
821;Ardennes;2007;5.73701;33302.0;191053.8
822;Ardennes;2008;6.98649;36314.0;253707.4
823;Ardennes;2009;7.26606;36507.0;265262.2
824;Ardennes;2010;6.74377;28195.0;190140.5
825;Ardennes;2011;5.78846;31045.0;179702.6
826;Ardennes;2012;6.61463;34890.0;230784.6
827;Ardennes;2013;6.67269;29230.0;195042.8
828;Ardennes;2014;7.3;31250.0;229273.7
829;Ardennes;2015;8.1;34550.0;278692.3
830;Ardennes;2016;5.83;34690.0;202242.7
831;Ardennes;2017;6.72;32275.0;216888.0
832;Ardennes;2018;6.98;31450.0;219521.0
915;Ariege;1982;2.712;5000.0;13560.0
916;Ariege;1983;3.91667;4200.0;16450.0
917;Ariege;1984;4.475;4000.0;17900.0
918;Ariege;1985;3.95283;5300.0;20950.0
919;Ariege;1986;4.02571;5756.0;23172.0
920;Ariege;1987;4.73642;6066.0;28731.1
921;Ariege;1988;3.87264;5500.0;21299.5
922;Ariege;1989;4.57627;5900.0;27000.0
923;Ariege;1990;4.19118;6800.0;28500.0
924;Ariege;1991;4.85507;6900.0;33500.0
925;Ariege;1992;4.57627;5900.0;27000.0
926;Ariege;1993;4.16071;5600.0;23300.0
927;Ariege;1994;3.78378;3700.0;14000.0
928;Ariege;1995;4.72973;3700.0;17500.0
929;Ariege;1996;4.59459;3700.0;17000.0
930;Ariege;1997;3.57143;3500.0;12500.0
931;Ariege;1998;4.77941;3400.0;16250.0
932;Ariege;1999;4.0;2800.0;11200.0
933;Ariege;2000;4.48148;2700.0;12100.0
934;Ariege;2001;3.98707;3140.0;12519.4
935;Ariege;2002;4.0963;2787.0;11416.4
936;Ariege;2003;3.88097;2732.0;10602.8
937;Ariege;2004;4.27995;2364.0;10117.8
938;Ariege;2005;4.76119;2481.0;11812.5
939;Ariege;2006;4.47371;2556.0;11434.8
940;Ariege;2007;3.8621;2554.0;9863.8
941;Ariege;2008;4.47114;2318.0;10364.1
942;Ariege;2009;3.96735;2867.0;11374.4
943;Ariege;2010;4.99224;2450.0;12231.0
944;Ariege;2011;3.82559;1899.0;7264.8
945;Ariege;2012;5.25931;1927.0;10134.7
946;Ariege;2013;4.97337;1814.0;9021.7
947;Ariege;2014;4.6;2150.0;9815.0
948;Ariege;2015;4.6;2310.0;10549.0
949;Ariege;2016;4.95;2175.0;10766.25
950;Ariege;2017;4.55;2180.0;9919.0
951;Ariege;2018;4.01;2040.0;8180.4
1034;Aube;1982;5.41752;64500.0;349430.0
1035;Aube;1983;5.0246;63000.0;316550.0
1036;Aube;1984;6.68095;63000.0;420900.0
1037;Aube;1985;6.27218;66500.0;417100.0
1038;Aube;1986;6.09048;63000.0;383700.0
1039;Aube;1987;6.42069;58000.0;372400.0
1040;Aube;1988;6.03621;58000.0;350100.0
1041;Aube;1989;6.76;55000.0;371800.0
1042;Aube;1990;7.64486;53500.0;409000.0
1043;Aube;1991;7.51034;58000.0;435600.0
1044;Aube;1992;6.90968;62000.0;428400.0
1045;Aube;1993;6.40377;53000.0;339400.0
1046;Aube;1994;6.284;50000.0;314200.0
1047;Aube;1995;6.20385;52000.0;322600.0
1048;Aube;1996;6.88226;62000.0;426700.0
1049;Aube;1997;7.13429;70000.0;499400.0
1050;Aube;1998;7.56934;68500.0;518500.0
1051;Aube;1999;7.05609;66500.0;469230.0
1052;Aube;2000;7.06703;70180.0;495964.0
